auction_date,auction_location,auction_name,auction_url,title,url,currency,low_estimate,high_estimate,realised_price,description,Brand,Reference,Year,Case No.,Diameter,Weight,Caliber,Signature,Movement No.,Bracelet,Model,Buckle,Dimensions,Accessories,Thickness,Material,Height,Width,Length
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Movado.  Ref. 9043, Chronograph, Yellow gold",/en/lots/movado-ref-9043-lot-347-1?page=1,EUR,"1,500","3,500","2,340","A fine 18K yellow gold, manual-winding wristwatch with square button chronograph, registers, and tachometer. Polished case, straight and lapidated lugs, acrylic crystal, and Snap-on case back. Matte silvered dial with applied gold dots and Arabic numeral indexes, sub-dials for seconds, 12-hour and 60-minute registers, outer 1/5th seconds minute and outermost tachometer scale. Applied gold baton hands and center-seconds blued steel stick hand.","Movado, La Chaux-de-Fonds",9043,1960,104231,37 mm.,"53,2 gr. (approx.)",Movado 90,"Case, dial and movement",,,,,,,,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Omega.  Ref. 2687, Yellow gold",/en/lots/omega-ref-2687-lot-347-2?page=1,EUR,800,"1,800","2,340","Fine, large, manual-winding, 18K yellow gold wristwatch. Solid and polished case, with concave lugs. Silvered dial with emboss dart indexes in applied yellow gold and Arabic numerals, subsidiary seconds dial. Pink gold ""dauphine"" hands.","Omega, Bienne / Biel",2687,1954,11374274,36 mm.,"45,7 gr. (approx.)",Omega 266,"Case, dial and movement",14328324,Leather strap with 18K yellow gold-plated Omega buckle,,,,,,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Omega.  Original ""Petrograd 1915"", pink gold",/en/lots/omega-petrograd-lot-347-3?page=1,EUR,"2,000","4,000","4,940","Fine and rare, large, tonneau-shaped, manual-winding pink gold wristwatch (9K or 14K). Curved and polished case, Snap-on case back. Silver dial with black painted large Arabic numerals, sub-dial at 6 o’clock for the seconds, and the outer division, with Arabic numerals up to 24. Blued steel Breguet hands.","Omega, Bienne / Biel",,1915,,,"44,9 gr. (approx.)",Omega,Dial and movement,4927988,Leather strap,Petrograd,Omega plated gold buckle,31 x 39 mm.,,,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Universal.  Ref. 12296, Tri-compax, Pink gold",/en/lots/universal-ref-12296-tri-compax-lot-347-4?page=1,EUR,"3,000","5,000","11,700","Very fine, large, pink gold, manual-winding wristwatch with square button chronograph, registers, tachometer, triple date calendar and moon phases. Polished case, concave lugs, correctors on the band, Snap-on case back. Matte silver dial with emboss dart and square indexes, subsidiary guilloche dials for the seconds, the 12-hour and 30-minute registers, outer tachometer graduation, graduation for the days of the month, apertures for the days of the week, the months, and the moon phases. Pink gold dart hands.","Universal, Geneva",12296,1940,1455466,37 mm.,"48,2 gr. (approx.)",481,"Case, dial and movement",,,Tri-compax,,,,,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Baume & Mercier.  Ref. 3918, Triple date,Yellow gold",/en/lots/baume-mercier-ref-3918-lot-347-5?page=1,EUR,"1,200","2,200","4,550","Very fine, 18K yellow gold, manual-winding wristwatch with square button chronograph, registers, triple date calendar and moon phases. Polished case, large flame shaped lugs, Snap-on case back. Cream dial with applied gold dots indexes and Arabic numeral at 12 o’clock. Subsidiary dials for the seconds, the 12-hour and 30-minute registers. Outer graduation for the date of the month, apertures for the days of the week, the months, and the moon phases. Pink gold baton hands, center day arrow hand with red tip.","Baume & Mercier, Geneva",3918,1950,11374274,35 mm.,52 gr. (approx.),Valjoux 88,"Case, dial and movement",,,,,,,,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Baume & Mercier.  Ref. 1919, Chronograph, Triple calendar, Astronomic, Stainless-steel",/en/lots/baume-mercier-ref-1919-astronomic-lot-347-6?page=1,EUR,"5,000","10,000","7,800","Fine and rare manual-winding chronograph wristwatch in stainless steel with moon-phase. Snap-in case back, acrylic glass, stepped bezel, brushed and unpolished lugs on the outer parts, rectangular push-button chronograph. Silvered dial with luminescent Arabic numerals. Subdials for the seconds at 9 o'clock, the 30-minute register at 3 o'clock and the 12-hour register at 6 o'clock. Aperture for the day of the week and the month at 12 o'clock and the moon phase at 6 o'clock. Central blued chronograph baton hand and arrow hand for the date, luminous sword hands for the hours and minutes.","Baume & Mercier, Geneva",1919,1940,436022,36 mm.,43.6 gr. (approx.),Valjoux 88,"Case, dial and movement",,,Astronomic,,,"Box, Certificate of guarantee unreferenced",,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Universal Genève.  Ref. 12551, Tri-Compax Chronograph, Yellow gold",/en/lots/universal-geneve-ref-12551-tri-compax-lot-347-7?page=1,EUR,"3,500","5,500","8,450","A fine and rare, manual wind, 18k yellow gold chronograph wristwatch with day, date and moonphase.","Universal Genève, Geneva",12551,1955,1074675,36 mm.,53 gr. (approx.),"287, 17 jewels","Case, dial and movement",217948,,Tri-compax,,,,,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Breitling.  Ref. 2610, Unitime, Lip, Stainless-steel",/en/lots/breitling-ref-2610-unitime-lot-347-8?page=1,EUR,"6,000","8,000",,"Fine and rare, center seconds, self-winding stainless-steel wristwatch, water resistant and antimagnetic, with date, retailed by Lip. Screwdown case back, bi-directional revolving bezel with painted Arabic numerals 12-hour grading. Two-tone matte black and silver dial with alternating silver and black 24-hour revolving outer dial with painted Arabic numerals, applied steel luminescent indexes, aperture for the date at 6 o'clock. Sword luminescent black hands.","Breitling, Switzerland",2610,1964,1000124,35 mm.,52 gr. (approx.),260,"Case, dial and movement",,,Unitime,,Length 150 mm. (approx.),,,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Breitling.  Ref 809, Genève Cosmonaute, Navitimer",/en/lots/breitling-ref-809-navitimer-lot-347-9?page=1,EUR,"3,500","5,500","4,680","Fine stainless-steel wristwatch, self-winding with 24-hour dial registers, telemeter, slide-rule, round button chronograph and a stainless-steel Breitling buckle. Bidirectional revolving reeded and graduated bezel, Snap-on case back. Bicolor black and silver with luminous Arabic 24-hour numerals, subsidiary guilloche dials for the seconds, the 12-hour and 30-minute registers, outer graduation for the telemeter, outermost silver scale for the slide-rule revolving with the bezel. Luminous white baton hands.","Breitling, Switzerland",809,1966,1073637,41 mm.,76 gr. (approx.),Venus 178,"Case, dial and movement",,,Navitimer,,,,,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Breitling.  Ref. 817, Italian Military Chronograph, Steel",/en/lots/breitling-ref-817-817-lot-347-10?page=1,EUR,"6,000","12,000",,"A rare and fine stainless steel, chronograph, manual winding ref 817 wristwatch made for the Italian army. Blue rotating timing bezel, outer seconds track tachymeter on the dial, chronograph sub-dials at 3 and 9 o’clock, winding crown and two round chronograph pushers.","Breitling, Switzerland",817,1975,1 433 748,40 mm.,87 gr. (approx.),Landeron 236,"Dial and movement, case numbered",,Steel Flixoflex Bracelet,817,,,Original Box,,,,,
